Bus_k,Bus_j,Connectivity,
f5_166,f5_194,0,
f5_166,f5_201,0,
f5_166,f5_237,0,
f5_166,f5_234,0,
f5_166,f5_268,0,
f5_166,f5_216,0,
f5_166,f5_222,0,
f5_166,f5_232,0,
f5_166,f5_238,0,
f5_166,f5_308,0,
f5_166,f5_274,0,
f5_166,f5_243,0,
f5_166,f5_256,0,
f5_133,slack,0,
f5_133,primary,0,
f5_133,secondary,0,
f5_133,f5_22,0,
f5_133,f5_75,0,
f5_133,f5_83,0,
f5_133,f5_117,0,
f5_133,f5_87,0,
f5_133,f5_132,0,
f5_133,f5_92,0,
f5_133,f5_140,0,
f5_133,f5_98,0,
f5_133,f5_130,0,
f5_133,f5_105,0,
f5_133,f5_148,0,
f5_133,f5_111,1,
f5_133,f5_166,0,
f5_133,f5_133,1,
f5_133,f5_124,0,
f5_133,f5_125,0,
f5_133,f5_149,0,
f5_133,f5_139,0,
f5_133,f5_161,0,
f5_133,f5_142,0,
f5_133,f5_153,1,
f5_133,f5_188,1,
f5_133,f5_160,0,
f5_133,f5_151,0,
f5_133,f5_167,0,
f5_133,f5_159,0,
f5_133,f5_174,0,
f5_133,f5_211,0,
f5_133,f5_178,0,
f5_133,f5_173,0,
f5_133,f5_189,0,
f5_133,f5_227,0,
f5_133,f5_200,0,
f5_133,f5_194,0,
f5_133,f5_201,0,
f5_133,f5_237,0,
f5_133,f5_234,0,
f5_133,f5_268,0,
f5_133,f5_216,0,
f5_133,f5_222,0,
f5_133,f5_232,0,
f5_133,f5_238,0,
f5_133,f5_308,0,
f5_133,f5_274,0,
f5_133,f5_243,0,
f5_133,f5_256,0,
f5_124,slack,0,
f5_124,primary,0,
f5_124,secondary,0,
f5_124,f5_22,0,
f5_124,f5_75,0,
f5_124,f5_83,0,
f5_124,f5_117,1,
f5_124,f5_87,0,
f5_124,f5_132,0,
f5_124,f5_92,0,
f5_124,f5_140,0,
f5_124,f5_98,0,
f5_124,f5_130,0,
f5_124,f5_105,0,
f5_124,f5_148,0,
f5_124,f5_111,0,
f5_124,f5_166,0,
f5_124,f5_133,0,
f5_124,f5_124,1,
f5_124,f5_125,0,
f5_124,f5_149,0,
f5_124,f5_139,0,
f5_124,f5_161,0,
f5_124,f5_142,0,
f5_124,f5_153,0,
f5_124,f5_188,0,
f5_124,f5_160,0,
f5_124,f5_151,0,
f5_124,f5_167,0,
f5_124,f5_159,0,
f5_124,f5_174,0,
f5_124,f5_211,0,
f5_124,f5_178,0,
f5_124,f5_173,0,
f5_124,f5_189,0,
f5_124,f5_227,0,
f5_124,f5_200,0,
f5_124,f5_194,0,
f5_124,f5_201,0,
f5_124,f5_237,0,
f5_124,f5_234,0,
f5_124,f5_268,0,
f5_124,f5_216,0,
f5_124,f5_222,0,
f5_124,f5_232,0,
f5_124,f5_238,0,
f5_124,f5_308,0,
f5_124,f5_274,0,
f5_124,f5_243,0,
f5_124,f5_256,0,
f5_125,slack,0,
f5_125,primary,0,
f5_125,secondary,0,
f5_125,f5_22,0,
f5_125,f5_75,0,
f5_125,f5_83,0,
f5_125,f5_117,1,
f5_125,f5_87,0,
f5_125,f5_132,0,
f5_125,f5_92,0,
f5_125,f5_140,0,
f5_125,f5_98,0,
f5_125,f5_130,0,
f5_125,f5_105,0,
f5_125,f5_148,0,
f5_125,f5_111,0,
f5_125,f5_166,0,
f5_125,f5_133,0,
f5_125,f5_124,0,
f5_125,f5_125,1,
f5_125,f5_149,0,
f5_125,f5_139,0,
f5_125,f5_161,0,
f5_125,f5_142,0,
f5_125,f5_153,0,
f5_125,f5_188,0,
f5_125,f5_160,0,
f5_125,f5_151,0,
f5_125,f5_167,0,
f5_125,f5_159,0,
f5_125,f5_174,0,
f5_125,f5_211,0,
f5_125,f5_178,0,
f5_125,f5_173,0,
f5_125,f5_189,0,
f5_125,f5_227,0,
f5_125,f5_200,0,
f5_125,f5_194,0,
f5_125,f5_201,0,
f5_125,f5_237,0,
f5_125,f5_234,0,
f5_125,f5_268,0,
f5_125,f5_216,0,
f5_125,f5_222,0,
f5_125,f5_232,0,
f5_125,f5_238,0,
f5_125,f5_308,0,
f5_125,f5_274,0,
f5_125,f5_243,0,
f5_125,f5_256,0,
f5_149,slack,0,
f5_149,primary,0,
f5_149,secondary,0,
f5_149,f5_22,0,
f5_149,f5_75,0,
f5_149,f5_83,0,
f5_149,f5_117,0,
f5_149,f5_87,0,
f5_149,f5_132,0,
f5_149,f5_92,0,
f5_149,f5_140,0,
f5_149,f5_98,0,
f5_149,f5_130,1,
f5_149,f5_105,0,
f5_149,f5_148,0,
f5_149,f5_111,0,
f5_149,f5_166,0,
f5_149,f5_133,0,
f5_149,f5_124,0,
f5_149,f5_125,0,
f5_149,f5_149,1,
f5_149,f5_139,0,
f5_149,f5_161,0,
f5_149,f5_142,0,
f5_149,f5_153,0,
f5_149,f5_188,0,
f5_149,f5_160,0,
f5_149,f5_151,0,
f5_149,f5_167,0,
f5_149,f5_159,0,
f5_149,f5_174,0,
f5_149,f5_211,0,
f5_149,f5_178,0,
f5_149,f5_173,0,
f5_149,f5_189,0,
f5_149,f5_227,0,
f5_149,f5_200,0,
f5_149,f5_194,0,
f5_149,f5_201,0,
f5_149,f5_237,0,
f5_149,f5_234,0,
f5_149,f5_268,0,
f5_149,f5_216,0,
f5_149,f5_222,0,
f5_149,f5_232,0,
f5_149,f5_238,0,
f5_149,f5_308,0,
f5_149,f5_274,0,
f5_149,f5_243,0,
f5_149,f5_256,0,
f5_139,slack,0,
f5_139,primary,0,
f5_139,secondary,0,
f5_139,f5_22,0,
f5_139,f5_75,0,
f5_139,f5_83,0,
f5_139,f5_117,0,
f5_139,f5_87,0,
f5_139,f5_132,0,
f5_139,f5_92,0,
f5_139,f5_140,0,
f5_139,f5_98,0,
f5_139,f5_130,1,
f5_139,f5_105,0,
f5_139,f5_148,0,
f5_139,f5_111,0,
f5_139,f5_166,0,
f5_139,f5_133,0,
f5_139,f5_124,0,
f5_139,f5_125,0,
f5_139,f5_149,0,
f5_139,f5_139,1,
f5_139,f5_161,0,
f5_139,f5_142,0,
f5_139,f5_153,0,
f5_139,f5_188,0,
f5_139,f5_160,0,
f5_139,f5_151,0,
f5_139,f5_167,0,
f5_139,f5_159,0,
f5_139,f5_174,0,
f5_139,f5_211,0,
f5_139,f5_178,0,
f5_139,f5_173,0,
f5_139,f5_189,0,
f5_139,f5_227,0,
f5_139,f5_200,0,
f5_139,f5_194,0,
f5_139,f5_201,0,
f5_139,f5_237,0,
f5_139,f5_234,0,
f5_139,f5_268,0,
f5_139,f5_216,0,
f5_139,f5_222,0,
f5_139,f5_232,0,
f5_139,f5_238,0,
f5_139,f5_308,0,
f5_139,f5_274,0,
f5_139,f5_243,0,
f5_139,f5_256,0,
f5_161,slack,0,
f5_161,primary,0,
f5_161,secondary,0,
f5_161,f5_22,0,
f5_161,f5_75,0,
f5_161,f5_83,0,
f5_161,f5_117,0,
f5_161,f5_87,0,
f5_161,f5_132,1,
f5_161,f5_92,0,
f5_161,f5_140,0,
f5_161,f5_98,0,
f5_161,f5_130,0,
f5_161,f5_105,0,
f5_161,f5_148,0,
f5_161,f5_111,0,
f5_161,f5_166,0,
f5_161,f5_133,0,
f5_161,f5_124,0,
f5_161,f5_125,0,
f5_161,f5_149,0,
f5_161,f5_139,0,
f5_161,f5_161,1,
f5_161,f5_142,0,
f5_161,f5_153,0,
f5_161,f5_188,0,
f5_161,f5_160,0,
f5_161,f5_151,0,
f5_161,f5_167,0,
f5_161,f5_159,0,
f5_161,f5_174,0,
f5_161,f5_211,0,
f5_161,f5_178,0,
f5_161,f5_173,0,
f5_161,f5_189,0,
f5_161,f5_227,0,
f5_161,f5_200,0,
f5_161,f5_194,0,
f5_161,f5_201,0,
f5_161,f5_237,0,
f5_161,f5_234,0,
f5_161,f5_268,0,
f5_161,f5_216,0,
f5_161,f5_222,0,
f5_161,f5_232,0,
f5_161,f5_238,0,
f5_161,f5_308,0,
f5_161,f5_274,0,
f5_161,f5_243,0,
f5_161,f5_256,0,
f5_142,slack,0,
f5_142,primary,0,
f5_142,secondary,0,
f5_142,f5_22,0,
f5_142,f5_75,0,
f5_142,f5_83,0,
f5_142,f5_117,0,
f5_142,f5_87,0,
f5_142,f5_132,1,
f5_142,f5_92,0,
f5_142,f5_140,0,
f5_142,f5_98,0,
f5_142,f5_130,0,
f5_142,f5_105,0,
f5_142,f5_148,0,
f5_142,f5_111,0,
f5_142,f5_166,0,
f5_142,f5_133,0,
f5_142,f5_124,0,
f5_142,f5_125,0,
f5_142,f5_149,0,
f5_142,f5_139,0,
f5_142,f5_161,0,
f5_142,f5_142,1,
f5_142,f5_153,0,
f5_142,f5_188,0,
f5_142,f5_160,0,
f5_142,f5_151,0,
f5_142,f5_167,0,
f5_142,f5_159,0,
f5_142,f5_174,0,
f5_142,f5_211,0,
f5_142,f5_178,0,
f5_142,f5_173,0,
f5_142,f5_189,0,
f5_142,f5_227,0,
f5_142,f5_200,0,
f5_142,f5_194,0,
f5_142,f5_201,0,
f5_142,f5_237,0,
f5_142,f5_234,0,
f5_142,f5_268,0,
f5_142,f5_216,0,
f5_142,f5_222,0,
f5_142,f5_232,0,
f5_142,f5_238,0,
f5_142,f5_308,0,
f5_142,f5_274,0,
f5_142,f5_243,0,
f5_142,f5_256,0,
f5_153,slack,0,
f5_153,primary,0,
f5_153,secondary,0,
f5_153,f5_22,0,
f5_153,f5_75,0,
f5_153,f5_83,0,
f5_153,f5_117,0,
f5_153,f5_87,0,
f5_153,f5_132,0,
f5_153,f5_92,0,
f5_153,f5_140,0,
f5_153,f5_98,0,
f5_153,f5_130,0,
f5_153,f5_105,0,
f5_153,f5_148,0,
f5_153,f5_111,0,
f5_153,f5_166,0,
f5_153,f5_133,1,
f5_153,f5_124,0,
f5_153,f5_125,0,
f5_153,f5_149,0,
f5_153,f5_139,0,
f5_153,f5_161,0,
f5_153,f5_142,0,
f5_153,f5_153,1,
f5_153,f5_188,0,
f5_153,f5_160,0,
f5_153,f5_151,0,
f5_153,f5_167,0,
f5_153,f5_159,0,
f5_153,f5_174,1,
f5_153,f5_211,1,
f5_153,f5_178,0,
f5_153,f5_173,0,
f5_153,f5_189,0,
f5_153,f5_227,0,
f5_153,f5_200,0,
f5_153,f5_194,0,
f5_153,f5_201,0,
f5_153,f5_237,0,
f5_153,f5_234,0,
f5_153,f5_268,0,
f5_153,f5_216,0,
f5_153,f5_222,0,
f5_153,f5_232,0,
f5_153,f5_238,0,
f5_153,f5_308,0,
f5_153,f5_274,0,
f5_153,f5_243,0,
f5_153,f5_256,0,
f5_188,slack,0,
f5_188,primary,0,
f5_188,secondary,0,
f5_188,f5_22,0,
f5_188,f5_75,0,
f5_188,f5_83,0,
f5_188,f5_117,0,
f5_188,f5_87,0,
f5_188,f5_132,0,
f5_188,f5_92,0,
f5_188,f5_140,0,
f5_188,f5_98,0,
f5_188,f5_130,0,
f5_188,f5_105,0,
f5_188,f5_148,0,
f5_188,f5_111,0,
f5_188,f5_166,0,
f5_188,f5_133,1,
f5_188,f5_124,0,
f5_188,f5_125,0,
f5_188,f5_149,0,
f5_188,f5_139,0,
f5_188,f5_161,0,
f5_188,f5_142,0,
f5_188,f5_153,0,
f5_188,f5_188,1,
f5_188,f5_160,0,
f5_188,f5_151,0,
f5_188,f5_167,0,
f5_188,f5_159,0,
f5_188,f5_174,0,
f5_188,f5_211,0,
f5_188,f5_178,0,
f5_188,f5_173,0,
f5_188,f5_189,0,
f5_188,f5_227,0,
f5_188,f5_200,1,
f5_188,f5_194,1,
f5_188,f5_201,0,
f5_188,f5_237,0,
f5_188,f5_234,0,
f5_188,f5_268,0,
f5_188,f5_216,0,
f5_188,f5_222,0,
f5_188,f5_232,0,
f5_188,f5_238,0,
f5_188,f5_308,0,
f5_188,f5_274,0,
f5_188,f5_243,0,
f5_188,f5_256,0,
f5_160,slack,0,
f5_160,primary,0,
f5_160,secondary,0,
f5_160,f5_22,0,
f5_160,f5_75,0,
f5_160,f5_83,0,
f5_160,f5_117,0,
f5_160,f5_87,0,
f5_160,f5_132,0,
f5_160,f5_92,0,
f5_160,f5_140,1,
f5_160,f5_98,0,
f5_160,f5_130,0,
f5_160,f5_105,0,
f5_160,f5_148,0,
f5_160,f5_111,0,
f5_160,f5_166,0,
f5_160,f5_133,0,
f5_160,f5_124,0,
f5_160,f5_125,0,
f5_160,f5_149,0,
f5_160,f5_139,0,
f5_160,f5_161,0,
f5_160,f5_142,0,
f5_160,f5_153,0,
f5_160,f5_188,0,
f5_160,f5_160,1,
f5_160,f5_151,0,
f5_160,f5_167,0,
f5_160,f5_159,0,
f5_160,f5_174,0,
f5_160,f5_211,0,
f5_160,f5_178,0,
f5_160,f5_173,0,
f5_160,f5_189,0,
f5_160,f5_227,0,
f5_160,f5_200,0,
f5_160,f5_194,0,
f5_160,f5_201,0,
f5_160,f5_237,0,
f5_160,f5_234,0,
f5_160,f5_268,0,
f5_160,f5_216,0,
f5_160,f5_222,0,
f5_160,f5_232,0,
f5_160,f5_238,0,
f5_160,f5_308,0,
f5_160,f5_274,0,
f5_160,f5_243,0,
f5_160,f5_256,0,
f5_151,slack,0,
f5_151,primary,0,
f5_151,secondary,0,
f5_151,f5_22,0,
f5_151,f5_75,0,
f5_151,f5_83,0,
f5_151,f5_117,0,
f5_151,f5_87,0,
f5_151,f5_132,0,
f5_151,f5_92,0,
f5_151,f5_140,1,
f5_151,f5_98,0,
f5_151,f5_130,0,
f5_151,f5_105,0,
f5_151,f5_148,0,
f5_151,f5_111,0,
f5_151,f5_166,0,
f5_151,f5_133,0,
f5_151,f5_124,0,
f5_151,f5_125,0,
f5_151,f5_149,0,
f5_151,f5_139,0,
f5_151,f5_161,0,
f5_151,f5_142,0,
f5_151,f5_153,0,
f5_151,f5_188,0,
f5_151,f5_160,0,
f5_151,f5_151,1,
f5_151,f5_167,0,
f5_151,f5_159,0,
f5_151,f5_174,0,
f5_151,f5_211,0,
f5_151,f5_178,0,
f5_151,f5_173,0,
f5_151,f5_189,0,
f5_151,f5_227,0,
f5_151,f5_200,0,
f5_151,f5_194,0,
f5_151,f5_201,0,
f5_151,f5_237,0,
f5_151,f5_234,0,
f5_151,f5_268,0,
f5_151,f5_216,0,
f5_151,f5_222,0,
f5_151,f5_232,0,
f5_151,f5_238,0,
f5_151,f5_308,0,
f5_151,f5_274,0,
f5_151,f5_243,0,
f5_151,f5_256,0,
f5_167,slack,0,
f5_167,primary,0,
f5_167,secondary,0,
f5_167,f5_22,0,
f5_167,f5_75,0,
f5_167,f5_83,0,
f5_167,f5_117,0,
f5_167,f5_87,0,
f5_167,f5_132,0,
f5_167,f5_92,0,
f5_167,f5_140,0,
f5_167,f5_98,0,
f5_167,f5_130,0,
f5_167,f5_105,0,
f5_167,f5_148,1,
f5_167,f5_111,0,
f5_167,f5_166,0,
f5_167,f5_133,0,
f5_167,f5_124,0,
f5_167,f5_125,0,
f5_167,f5_149,0,
f5_167,f5_139,0,
f5_167,f5_161,0,
f5_167,f5_142,0,
f5_167,f5_153,0,
f5_167,f5_188,0,
f5_167,f5_160,0,
f5_167,f5_151,0,
f5_167,f5_167,1,
f5_167,f5_159,0,
f5_167,f5_174,0,
f5_167,f5_211,0,
f5_167,f5_178,0,
f5_167,f5_173,0,
f5_167,f5_189,0,
f5_167,f5_227,0,
f5_167,f5_200,0,
f5_167,f5_194,0,
f5_167,f5_201,0,
f5_167,f5_237,0,
f5_167,f5_234,0,
f5_167,f5_268,0,
f5_167,f5_216,0,
f5_167,f5_222,0,
f5_167,f5_232,0,
f5_167,f5_238,0,
f5_167,f5_308,0,
f5_167,f5_274,0,
f5_167,f5_243,0,
f5_167,f5_256,0,
f5_159,slack,0,
f5_159,primary,0,
f5_159,secondary,0,
f5_159,f5_22,0,
f5_159,f5_75,0,
f5_159,f5_83,0,
f5_159,f5_117,0,
f5_159,f5_87,0,
f5_159,f5_132,0,
f5_159,f5_92,0,
f5_159,f5_140,0,
f5_159,f5_98,0,
f5_159,f5_130,0,
f5_159,f5_105,0,
f5_159,f5_148,1,
f5_159,f5_111,0,
f5_159,f5_166,0,
f5_159,f5_133,0,
f5_159,f5_124,0,
f5_159,f5_125,0,
f5_159,f5_149,0,
f5_159,f5_139,0,
f5_159,f5_161,0,
f5_159,f5_142,0,
f5_159,f5_153,0,
f5_159,f5_188,0,
f5_159,f5_160,0,
f5_159,f5_151,0,
f5_159,f5_167,0,
f5_159,f5_159,1,
f5_159,f5_174,0,
f5_159,f5_211,0,
f5_159,f5_178,0,
f5_159,f5_173,0,
f5_159,f5_189,0,
f5_159,f5_227,0,
f5_159,f5_200,0,
f5_159,f5_194,0,
f5_159,f5_201,0,
f5_159,f5_237,0,
f5_159,f5_234,0,
f5_159,f5_268,0,
f5_159,f5_216,0,
f5_159,f5_222,0,
f5_159,f5_232,0,
f5_159,f5_238,0,
f5_159,f5_308,0,
f5_159,f5_274,0,
f5_159,f5_243,0,
f5_159,f5_256,0,
f5_174,slack,0,
f5_174,primary,0,
f5_174,secondary,0,
f5_174,f5_22,0,
f5_174,f5_75,0,
f5_174,f5_83,0,
f5_174,f5_117,0,
f5_174,f5_87,0,
f5_174,f5_132,0,
f5_174,f5_92,0,
f5_174,f5_140,0,
f5_174,f5_98,0,
f5_174,f5_130,0,
f5_174,f5_105,0,
f5_174,f5_148,0,
f5_174,f5_111,0,
f5_174,f5_166,0,
f5_174,f5_133,0,
f5_174,f5_124,0,
f5_174,f5_125,0,
f5_174,f5_149,0,
f5_174,f5_139,0,
f5_174,f5_161,0,
f5_174,f5_142,0,
f5_174,f5_153,1,
f5_174,f5_188,0,
f5_174,f5_160,0,
f5_174,f5_151,0,
f5_174,f5_167,0,
f5_174,f5_159,0,
f5_174,f5_174,1,
f5_174,f5_211,0,
f5_174,f5_178,0,
f5_174,f5_173,0,
f5_174,f5_189,1,
f5_174,f5_227,1,
f5_174,f5_200,0,
f5_174,f5_194,0,
f5_174,f5_201,0,
f5_174,f5_237,0,
f5_174,f5_234,0,
f5_174,f5_268,0,
f5_174,f5_216,0,
f5_174,f5_222,0,
f5_174,f5_232,0,
f5_174,f5_238,0,
f5_174,f5_308,0,
f5_174,f5_274,0,
f5_174,f5_243,0,
f5_174,f5_256,0,
f5_211,slack,0,
f5_211,primary,0,
f5_211,secondary,0,
f5_211,f5_22,0,
f5_211,f5_75,0,
f5_211,f5_83,0,
f5_211,f5_117,0,
f5_211,f5_87,0,
f5_211,f5_132,0,
f5_211,f5_92,0,
f5_211,f5_140,0,
f5_211,f5_98,0,
f5_211,f5_130,0,
f5_211,f5_105,0,
f5_211,f5_148,0,
f5_211,f5_111,0,
f5_211,f5_166,0,
f5_211,f5_133,0,
f5_211,f5_124,0,
f5_211,f5_125,0,
f5_211,f5_149,0,
f5_211,f5_139,0,
f5_211,f5_161,0,
f5_211,f5_142,0,
f5_211,f5_153,1,
f5_211,f5_188,0,
f5_211,f5_160,0,
f5_211,f5_151,0,
f5_211,f5_167,0,
f5_211,f5_159,0,
f5_211,f5_174,0,
f5_211,f5_211,1,
f5_211,f5_178,0,
f5_211,f5_173,0,
f5_211,f5_189,0,
f5_211,f5_227,0,
f5_211,f5_200,0,
f5_211,f5_194,0,
f5_211,f5_201,0,
f5_211,f5_237,0,
f5_211,f5_234,0,
f5_211,f5_268,0,
f5_211,f5_216,1,
f5_211,f5_222,1,
f5_211,f5_232,0,
f5_211,f5_238,0,
f5_211,f5_308,0,
f5_211,f5_274,0,
f5_211,f5_243,0,
f5_211,f5_256,0,
f5_178,slack,0,
f5_178,primary,0,
f5_178,secondary,0,
f5_178,f5_22,0,
f5_178,f5_75,0,
f5_178,f5_83,0,
f5_178,f5_117,0,
f5_178,f5_87,0,
f5_178,f5_132,0,
f5_178,f5_92,0,
f5_178,f5_140,0,
f5_178,f5_98,0,
f5_178,f5_130,0,
f5_178,f5_105,0,
f5_178,f5_148,0,
f5_178,f5_111,0,
f5_178,f5_166,1,
f5_178,f5_133,0,
f5_178,f5_124,0,
f5_178,f5_125,0,
f5_178,f5_149,0,
f5_178,f5_139,0,
f5_178,f5_161,0,
f5_178,f5_142,0,
f5_178,f5_153,0,
f5_178,f5_188,0,
f5_178,f5_160,0,
f5_178,f5_151,0,
f5_178,f5_167,0,
f5_178,f5_159,0,
f5_178,f5_174,0,
f5_178,f5_211,0,
f5_178,f5_178,1,
f5_178,f5_173,0,
f5_178,f5_189,0,
f5_178,f5_227,0,
f5_178,f5_200,0,
f5_178,f5_194,0,
f5_178,f5_201,0,
f5_178,f5_237,0,
f5_178,f5_234,0,
f5_178,f5_268,0,
f5_178,f5_216,0,
f5_178,f5_222,0,
f5_178,f5_232,0,
f5_178,f5_238,0,
f5_178,f5_308,0,
f5_178,f5_274,0,
f5_178,f5_243,0,
f5_178,f5_256,0,
f5_173,slack,0,
f5_173,primary,0,
f5_173,secondary,0,
f5_173,f5_22,0,
f5_173,f5_75,0,
f5_173,f5_83,0,
f5_173,f5_117,0,
f5_173,f5_87,0,
f5_173,f5_132,0,
f5_173,f5_92,0,
f5_173,f5_140,0,
f5_173,f5_98,0,
f5_173,f5_130,0,
f5_173,f5_105,0,
f5_173,f5_148,0,
f5_173,f5_111,0,
f5_173,f5_166,1,
f5_173,f5_133,0,
